#Study : Study 28-03-17 19h04m
#Date : 20170328 19:12:37
#Version : 6.3.6059.1
#TestRunDate : 20170328 19:08:01.306 (-04:00)
#Tracker : Model-Tobii T60, Freq-60Hz, Screen Size(cms)-{Width=33.7, Height=27}, Screen Res-{Width=1920, Height=1080}, Distance(Resp)-60cm 

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	TimeSignal	GazeLeftx	GazeLefty	GazeRightx	GazeRighty	PupilLeft	PupilRight	DistanceLeft	DistanceRight	CameraLeftX	CameraLeftY	CameraRightX	CameraRightY	ValidityLeft	ValidityRight	GazeX	GazeY	GazeAOI	InterpolatedGazeX	InterpolatedGazeY	GazeEventType	GazeVelocityAngle	SaccadeSeq	SaccadeStart	SaccadeDuration	FixationSeq	FixationX	FixationY	FixationStart	FixationDuration	FixationAOI	PostMarker	Annotation	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802534		1140	1152	142	1133	384	2.790543	2.772369	756.0476	755.4911	0.6644005	0.5489954	0.5222347	0.5682364	0	0	1142	263		1142	263		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802562		1168	1226	103	1291	387	2.852234	2.372742	756.5739	756.0928	0.6650857	0.549909	0.5229019	0.5685376	0	0	1258	245		1258	245		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802589		1195	1207	94	1180	361	2.872208	2.72084	756.8182	756.3232	0.6658098	0.5509084	0.5236151	0.568947	0	0	1194	228		1194	228		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802617		1223	1106	185	1194	373	2.979828	2.774124	757.0026	756.8207	0.6665226	0.5518361	0.5242936	0.5692101	0	0	1150	279		1150	279		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802644		1251	1036	286	1234	372	3.152084	2.591476	757.1792	757.077	0.6671757	0.5525924	0.5249954	0.5694103	0	0	1135	329		1135	329		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802672		1278	1094	183	1256	429	3.06131	2.520432	757.3577	757.3356	0.6678447	0.5533076	0.5255945	0.569514	0	0	1175	306		1175	306		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802700		1306	1107	177	1194	373	3.120193	2.80014	757.6726	757.5685	0.6684628	0.5539641	0.5261952	0.5696234	0	0	1150	275		1150	275		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802729		1333	1114	167	1160	402	3.07431	2.986542	757.8478	757.7869	0.6689733	0.5542521	0.5266828	0.5695127	0	0	1137	284		1137	284		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802757		1361	1152	118	1236	369	2.935379	2.715088	757.9165	758.0562	0.6694264	0.5545632	0.5271304	0.5693737	0	0	1194	244		1194	244		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802790		1390	1089	189	1120	348	3.143509	3.079193	758.3807	758.5508	0.6698897	0.5547696	0.5275619	0.5691174	0	0	1104	268		1104	268		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802819		1418	1150	127	1117	428	3.049011	3.050171	758.3156	758.7838	0.6701725	0.5550784	0.5278257	0.5691024	0	0	1134	278		1134	278		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802846		1451	1120	136	1116	358	3.138306	2.978226	758.7018	759.1312	0.67048	0.5552914	0.5281454	0.5690616	0	0	1118	247		1118	247		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802874		1480	1109	178	1207	309	3.161835	2.787354	758.8757	759.6461	0.670759	0.555434	0.5284019	0.5690168	0	0	1158	244		1158	244		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802902		1508	1172	136	1207	331	3.105392	2.887863	759.1783	759.859	0.671033	0.5556417	0.5287067	0.5691247	0	0	1190	234		1190	234		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802930		1535	1116	184	1144	370	3.156296	3.1418	759.2527	760.0087	0.6713065	0.5556958	0.5290293	0.5691845	0	0	1130	277		1130	277		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802958		1563	1098	209	1281	321	3.270737	2.783615	759.2572	760.2977	0.671584	0.5558087	0.5293213	0.5693861	0	0	1190	265		1190	265		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802986		1591	1096	199	1155	326	3.159592	3.078674	759.534	760.1161	0.6718512	0.5557426	0.5295823	0.5694027	0	0	1126	262		1126	262		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190803015		1620	1084	188	1113	364	3.30986	3.161392	759.4453	760.4267	0.6720183	0.5556899	0.5297906	0.5694991	0	0	1098	276		1098	276		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190803044		1648	1103	194	1135	341	3.34166	3.089417	759.7682	760.2302	0.6721301	0.5557353	0.5298928	0.5697179	0	0	1119	268		1119	268		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190803074		1677	1067	223	1119	326	3.303482	3.204971	759.8666	760.2822	0.6721472	0.5557631	0.5299234	0.5699819	0	0	1093	274		1093	274		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190803103		1706	1097	190	1092	361	3.35376	3.273148	759.9155	760.353	0.6721756	0.5558283	0.5299587	0.5702224	0	0	1094	276		1094	276		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190803133		1735	1075	198	1173	322	3.342773	3.126801	759.9828	760.6904	0.6722395	0.555861	0.5300596	0.5704656	0	0	1124	260		1124	260		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190803162		1765	1097	171	1201	307	3.404282	3.063736	760.1984	760.7831	0.6723909	0.5561094	0.5301696	0.5707484	0	0	1149	239		1149	239		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190803191		1794	1084	214	1129	342	3.356262	3.280258	760.1276	760.6418	0.6725846	0.5561438	0.5303497	0.5708951	0	0	1106	278		1106	278		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190803220		1823	1072	180	1182	340	3.395111	3.143082	760.3916	760.9631	0.6728547	0.5563611	0.5305939	0.5710527	0	0	1127	260		1127	260		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190803250		1852	1061	194	1140	376	3.438797	3.32103	760.3754	760.8855	0.6731564	0.5565733	0.5308812	0.5711418	0	0	1100	285		1100	285		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190803278		1881	1066	200	1171	333	3.378098	3.309433	760.3276	761.2119	0.6734776	0.5568145	0.5311443	0.5712412	0	0	1118	266		1118	266		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190803307		1911	1060	190	1139	358	3.406555	3.33725	760.3608	761.0244	0.6738524	0.5571346	0.5314653	0.5714424	0	0	1100	274		1100	274		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190803336		1940	1070	203	1193	337	3.439774	3.22699	760.621	761.0352	0.6743005	0.5573205	0.5318491	0.5715134	0	0	1132	270		1132	270		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190803365		1968	1112	135	1186	319	3.336853	3.258255	760.7623	761.0268	0.6747506	0.5575497	0.5322757	0.5715489	0	0	1149	227		1149	227		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190803394		1997	1073	198	1163	365	3.408966	3.352097	760.8525	761.2861	0.6751902	0.5576198	0.5327737	0.5714251	0	0	1118	282		1118	282		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190803423		2026	1063	167	1179	351	3.456711	3.379745	761.0806	761.264	0.6755703	0.5575985	0.5331932	0.5711577	0	0	1121	259		1121	259		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190803451		2055	1089	168	1176	355	3.50676	3.430115	761.2123	761.3309	0.6759097	0.5576522	0.5335464	0.5711284	0	0	1132	262		1132	262		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190803480		2084	1058	188	1122	373	3.496857	3.47525	761.012	761.2071	0.6760955	0.5575459	0.5337731	0.5710059	0	0	1090	280		1090	280		0																	
